,name,rank_url,youtube_url,start_date,discribe,subscriber_count,views
0,Junya.じゅんや,https://youtube-ranking.userlocal.jp/user/B8285F443D40BA50_41aeda,https://www.youtube.com/channel/UCjp_3PEaOau_nT_3vnqKIvg,2020-09-14〜,"『A man beyond Justin Bieber』ジャスティンビーバーを超える男 This is the one and only Junya's official YouTube channel! Please subscribe to my channel and don't forget to turn on the notification button! If you want to send a gift, send them to the address below: ---","19,200,000","11,385,534,387"
1,Sagawa /さがわ,https://youtube-ranking.userlocal.jp/user/A2FAEC5707AB4B95_fd9fbb,https://www.youtube.com/channel/UCWaOde99oeUVoXbIj3SNu9g,2021-02-13〜,🟣TikTok👉 sagawa1gou 🟠Instagram👉 sagawa1gou Sagawa/さがわの公式YouTubeチャンネルです！ チャンネル登録して、通知ボタンをオンにすることを忘れないでください！ This is the one and only Sagawa's official YouTube channel! Please subscribe to my channel and don't forget to turn on the notification button!,"15,300,000","13,016,262,852"
2,キッズライン♡Kids Line,https://youtube-ranking.userlocal.jp/user/runway19co_1cd4a4,https://www.youtube.com/channel/UCQs-tWGqacJ7vuuJDtXq28w,2011-11-26〜,We enjoy making videos. Please enjoy yourself!! Blog https://ameblo.jp/kidsline All Content © 2022 キッズラインKidsLine™. All Rights Reserved,"12,600,000","10,978,346,589"
3,"せんももあいしーCh Sen, Momo, Ai & Shii",https://youtube-ranking.userlocal.jp/user/oyabakatousan_3633db,https://www.youtube.com/channel/UCCKJzBnveLS7oLpS8Q4m2eg,2006-07-20〜,"せんのすけ・ももこ・あいこ・しろうの4兄弟のチャンネルです。 おでかけ、成長記録など、家族のVlog動画を投稿してます☆ せんのすけ(ねっくん) ♂ 2006年5月19日生まれ Sennosuke ♂ Date of Birth: May 19, 2006 ももこ(もみ、ももちん) ♀ 2008年5月23日生まれ Momoko ♀ Date of Birth: May 23, 2008 あいこ(あいちゃん) ♀ 2014年7月31日生まれ Aiko ♀ Date of Birth: July 3","11,300,000","7,727,065,719"
4,HikakinTV,https://youtube-ranking.userlocal.jp/user/HikakinTV_8dac78,https://www.youtube.com/channel/UCZf__ehlCEBPop-_sldpBUQ,2011-07-19〜,HikakinTVはヒカキンが面白いものを紹介するチャンネルです。 ◆プロフィール◆ YouTubeにてHIKAKIN、HikakinTV、HikakinGames、HikakinBlogと 4つのチャンネルを運営し、動画の総アクセス数は150億回を突破、 チャンネル登録者数は計1800万人以上、YouTubeタレント事務所uuum株式会社ファウンダー兼最高顧問。,"10,900,000","10,301,560,228"
5,はじめしゃちょー,https://youtube-ranking.userlocal.jp/user/0214mex_85db0c,https://www.youtube.com/channel/UCgMPP6RRjktV7krOfyUewqw,2012-08-31〜,動画を出したい時にテキトーにアップロードします。 オールジャンル!!!!なんでもしたいこと動画にしてます!!! チャンネル登録してくれると喜びます！ Hello! My name is Hajime! I`m not a president. こんにちは!はじめしゃちょーです。 Please Subscribe!!!!!,"10,300,000","9,291,978,294"
6,Boram Tube Play,https://youtube-ranking.userlocal.jp/user/9AF77D57051DA680_2c0a68,https://www.youtube.com/channel/UCiNRSIR9eICh9A4hNBtpIyw,2008-01-25〜,,"8,770,000","3,430,169,102"
7,Travel Thirsty,https://youtube-ranking.userlocal.jp/user/AEEADAFA04F19AAB_1de800,https://www.youtube.com/channel/UCHKVXtT1YBCYUnnr4apqXfg,2013-01-20〜,世界中の私たちに従ってください。 素晴らしい景色と美味しい食べ物！ 毎週新しいビデオ。 購読を忘れないでください！,"7,870,000","3,530,560,864"
8,ISSEI / いっせい,https://youtube-ranking.userlocal.jp/user/EE3777280A4CBE3B_6084d2,https://www.youtube.com/channel/UC6QZ_ss3i_8qLV_RczPZBkw,2014-07-23〜,I hope for a world where you can laugh with peace of mind. This is the one and only ISSEI's official YouTube channel! Make your smile with funny videos! I'm happy when you subscribe to the my channel! 平和な世界を願うISSEIの公式YouTubeチャンネルです! 面白い動画であなたを笑顔にすること,"7,780,000","6,794,756,815"
9,Fischer's-フィッシャーズ-,https://youtube-ranking.userlocal.jp/user/MASAIandHamzael_08ed7f,https://www.youtube.com/channel/UCibEhpu5HP45-w7Bq1ZIulw,2012-08-24〜,"チャンネル説明はこちら✨ 野外で遊んだり室内で遊んだり。海外へ冒険したり。時には恐ろしい場所へ…😱 中学3年の頃に「思い出」を動画にした事から始まった、同級生6人組による思い出系ネットパフォーマーです。 YouTubeなどで活動中！ファンの呼称は「ウオタミ」決まり文句は「アデュー‼️」 ■これまでのできごと🎉 2010/02/25 中学校卒業間近にフィッシャーズ結成 2012/08/24 古いチャンネルを削除してこのチャンネルを開設 2013/11/08 ファンの総称 ""ウオタミ"" を決定 20","7,740,000","15,139,244,763"
